[2013-12-08 00:49:10,334]runtime:INFO: Running iteration 1 ...
[2013-12-08 00:49:10,361]runtime:INFO: Creating instances of Acceptor..
[2013-12-08 00:49:10,503]runtime:INFO: 20 instances of Acceptor created.
[2013-12-08 00:49:10,517]runtime:INFO: Creating instances of Replica..
[2013-12-08 00:49:10,611]runtime:INFO: 10 instances of Replica created.
[2013-12-08 00:49:10,623]runtime:INFO: Creating instances of Leader..
[2013-12-08 00:49:10,653]runtime:INFO: 5 instances of Leader created.
[2013-12-08 00:49:10,676]runtime:INFO: Creating instances of Client..
[2013-12-08 00:49:10,712]runtime:INFO: 5 instances of Client created.
[2013-12-08 00:49:10,731]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,735]runtime:INFO: Starting procs...
[2013-12-08 00:49:10,752]runtime:INFO: Starting procs...
[2013-12-08 00:50:38,462]Client(('Latitude', 38473)):INFO: Received result 18:801 time taken: 9.880953
[2013-12-08 00:50:39,391]Client(('Latitude', 26810)):INFO: Received result 16:810 time taken: 10.526265
[2013-12-08 00:50:46,033]Client(('Latitude', 29417)):INFO: Received result 18:819 time taken: 11.542966
[2013-12-08 00:50:46,068]Client(('Latitude', 21586)):INFO: Received result 18:828 time taken: 11.587723
[2013-12-08 00:50:46,090]Client(('Latitude', 19526)):INFO: Received result 18:837 time taken: 9.308618
[2013-12-08 00:50:46,227]Client(('Latitude', 38473)):INFO: Received result 19:846 time taken: 7.756285
[2013-12-08 00:50:46,473]Client(('Latitude', 26810)):INFO: Received result 17:855 time taken: 7.065387
[2013-12-08 00:50:50,866]Client(('Latitude', 29417)):INFO: Received result 19:864 time taken: 4.780022
[2013-12-08 00:50:51,067]Client(('Latitude', 19526)):INFO: Received result 19:873 time taken: 4.956690
[2013-12-08 00:50:51,288]Client(('Latitude', 21586)):INFO: Received result 19:882 time taken: 5.149036
[2013-12-08 00:50:51,525]Client(('Latitude', 38473)):INFO: Received result 20:891 time taken: 5.286258
[2013-12-08 00:50:54,949]Client(('Latitude', 26810)):INFO: Received result 18:900 time taken: 8.470259
[2013-12-08 00:50:56,283]Client(('Latitude', 29417)):INFO: Received result 20:909 time taken: 5.275188
[2013-12-08 00:50:57,309]Client(('Latitude', 19526)):INFO: Received result 20:918 time taken: 6.230371
[2013-12-08 00:50:58,225]Client(('Latitude', 21586)):INFO: Received result 20:927 time taken: 6.909940
[2013-12-08 00:50:58,406]Client(('Latitude', 38473)):INFO: Received result 21:936 time taken: 6.841385
[2013-12-08 00:51:00,728]Client(('Latitude', 26810)):INFO: Received result 19:945 time taken: 5.739000
[2013-12-08 00:51:02,228]Client(('Latitude', 29417)):INFO: Received result 21:954 time taken: 5.882399
[2013-12-08 00:53:27,875]Client(('Latitude', 19526)):INFO: Received result 22:1008 time taken: 10.311495
[2013-12-08 00:53:30,802]Client(('Latitude', 21586)):INFO: Received result 22:1017 time taken: 3.090402
[2013-12-08 00:53:30,804]Client(('Latitude', 26810)):INFO: Received result 21:1026 time taken: 3.090189
[2013-12-08 00:53:30,840]Client(('Latitude', 29417)):INFO: Received result 23:1035 time taken: 3.079232
[2013-12-08 00:53:32,312]Client(('Latitude', 38473)):INFO: Received result 23:1044 time taken: 4.472618
[2013-12-08 00:53:33,129]Client(('Latitude', 19526)):INFO: Received result 23:1053 time taken: 5.248540
[2013-12-08 00:53:33,815]Client(('Latitude', 21586)):INFO: Received result 23:1062 time taken: 2.957775
[2013-12-08 00:53:35,176]Client(('Latitude', 29417)):INFO: Received result 24:1071 time taken: 4.323712
[2013-12-08 00:53:37,373]Client(('Latitude', 38473)):INFO: Received result 24:1080 time taken: 4.969176
[2013-12-08 00:53:37,413]Client(('Latitude', 19526)):INFO: Received result 24:1089 time taken: 4.246785
[2013-12-08 00:53:37,537]Client(('Latitude', 26810)):INFO: Received result 22:1098 time taken: 6.711399
[2013-12-08 00:53:38,682]Client(('Latitude', 21586)):INFO: Received result 24:1107 time taken: 4.788008
[2013-12-08 00:53:38,737]Client(('Latitude', 29417)):INFO: Received result 25:1116 time taken: 3.512079
[2013-12-08 00:53:39,746]Client(('Latitude', 38473)):INFO: Received result 25:1125 time taken: 2.334757
[2013-12-08 00:53:41,023]Client(('Latitude', 19526)):INFO: Received result 25:1134 time taken: 3.601314
[2013-12-08 00:53:42,504]Client(('Latitude', 26810)):INFO: Received result 23:1143 time taken: 4.959414
[2013-12-08 00:53:43,205]Client(('Latitude', 21586)):INFO: Received result 25:1152 time taken: 4.511592
[2013-12-08 00:53:43,245]Client(('Latitude', 29417)):INFO: Received result 26:1161 time taken: 4.501081
[2013-12-08 00:53:43,288]Client(('Latitude', 38473)):INFO: Received result 26:1170 time taken: 3.535006
[2013-12-08 00:53:43,298]Client(('Latitude', 19526)):INFO: Received result 26:1179 time taken: 2.256370
[2013-12-08 00:53:45,426]Client(('Latitude', 26810)):INFO: Received result 24:1188 time taken: 2.872368
[2013-12-08 00:53:45,603]Client(('Latitude', 21586)):INFO: Received result 26:1197 time taken: 2.388926
[2013-12-08 00:53:47,931]Client(('Latitude', 29417)):INFO: Received result 27:1206 time taken: 4.679441
[2013-12-08 00:53:48,394]Client(('Latitude', 38473)):INFO: Received result 27:1215 time taken: 5.099279
[2013-12-08 00:53:49,454]Client(('Latitude', 19526)):INFO: Received result 27:1224 time taken: 6.150090
[2013-12-08 00:53:49,722]Client(('Latitude', 26810)):INFO: Received result 25:1233 time taken: 4.226717
[2013-12-08 00:53:52,635]Client(('Latitude', 21586)):INFO: Received result 27:1242 time taken: 7.025719
[2013-12-08 00:53:54,034]Client(('Latitude', 29417)):INFO: Received result 28:1251 time taken: 6.051656
[2013-12-08 00:53:55,919]Client(('Latitude', 38473)):INFO: Received result 28:1260 time taken: 7.517697
[2013-12-08 00:53:56,757]Client(('Latitude', 19526)):INFO: Received result 28:1269 time taken: 7.265794
[2013-12-08 00:53:57,504]Client(('Latitude', 26810)):INFO: Received result 26:1278 time taken: 7.775011
[2013-12-08 00:53:59,393]Client(('Latitude', 21586)):INFO: Received result 28:1287 time taken: 6.720841
[2013-12-08 00:54:00,513]Client(('Latitude', 29417)):INFO: Received result 29:1296 time taken: 6.452246
[2013-12-08 00:54:00,638]Client(('Latitude', 38473)):INFO: Received result 29:1305 time taken: 4.711755
[2013-12-08 00:54:02,829]Client(('Latitude', 19526)):INFO: Received result 29:1314 time taken: 6.064792
[2013-12-08 00:54:03,565]Client(('Latitude', 26810)):INFO: Received result 27:1323 time taken: 6.053118
